| Reward: -344 | Episode: 174 | Qmax: 92.83393987019856 | Exploration: 0.0496265352943 | Step: 120 | LR:0.000372127
| Reward: -297 | Episode: 175 | Qmax: 93.25086750030518 | Exploration: 0.0496265352943 | Step: 100 | LR:0.00036468444
| Reward: -313 | Episode: 176 | Qmax: 95.33164340209962 | Exploration: 0.0496265352943 | Step: 125 | LR:0.00035739076
| Reward: -256 | Episode: 177 | Qmax: 97.88788817910587 | Exploration: 0.0496265352943 | Step: 68 | LR:0.00035024295
| Reward: -357 | Episode: 178 | Qmax: 96.4753514274222 | Exploration: 0.0496265352943 | Step: 61 | LR:0.0003432381
| Reward: -292 | Episode: 179 | Qmax: 96.1284371097531 | Exploration: 0.0496265352943 | Step: 113 | LR:0.00033637334
| Reward: -275 | Episode: 180 | Qmax: 96.26174926757812 | Exploration: 0.0496265352943 | Step: 78 | LR:0.00032964587
| Reward: -358 | Episode: 181 | Qmax: 94.83823197611262 | Exploration: 0.0496265352943 | Step: 89 | LR:0.00032305295
| Reward: -234 | Episode: 182 | Qmax: 97.1061520576477 | Exploration: 0.0496265352943 | Step: 64 | LR:0.00031659193
| Reward: -353 | Episode: 183 | Qmax: 97.69605326334636 | Exploration: 0.0496265352943 | Step: 75 | LR:0.00031026007
| Reward: -329 | Episode: 184 | Qmax: 96.91800739319343 | Exploration: 0.0496265352943 | Step: 123 | LR:0.0003040549
| Reward: -251 | Episode: 185 | Qmax: 98.17914805336603 | Exploration: 0.0496265352943 | Step: 63 | LR:0.00029797383
| Reward: -299 | Episode: 186 | Qmax: 97.88072109222412 | Exploration: 0.0496265352943 | Step: 120 | LR:0.00029201433
| Reward: -228 | Episode: 187 | Qmax: 97.57288557907631 | Exploration: 0.0496265352943 | Step: 58 | LR:0.00028617406
| Reward: -248 | Episode: 188 | Qmax: 98.46972459157308 | Exploration: 0.0496265352943 | Step: 60 | LR:0.0002804506
| Reward: -523 | Episode: 189 | Qmax: 98.83232576133561 | Exploration: 0.0496265352943 | Step: 137 | LR:0.0002748416
| Reward: -247 | Episode: 190 | Qmax: 98.63520762499641 | Exploration: 0.0496265352943 | Step: 68 | LR:0.00026934478
| Reward: -321 | Episode: 191 | Qmax: 98.58241182003381 | Exploration: 0.0496265352943 | Step: 106 | LR:0.00026395786
| Reward: -245 | Episode: 192 | Qmax: 100.07509987814385 | Exploration: 0.0496265352943 | Step: 57 | LR:0.00025867872
| Reward: -407 | Episode: 193 | Qmax: 97.63535333224083 | Exploration: 0.0496265352943 | Step: 219 | LR:0.00025350516
| Reward: -289 | Episode: 194 | Qmax: 97.75408667384988 | Exploration: 0.0496265352943 | Step: 101 | LR:0.00024843504
| Reward: -252 | Episode: 195 | Qmax: 98.85591000318527 | Exploration: 0.0496265352943 | Step: 64 | LR:0.00024346635
| Reward: -268 | Episode: 196 | Qmax: 97.70673055648804 | Exploration: 0.0496265352943 | Step: 80 | LR:0.00023859704
| Reward: -247 | Episode: 197 | Qmax: 99.04410295362597 | Exploration: 0.0496265352943 | Step: 77 | LR:0.0002338251
| Reward: -515 | Episode: 198 | Qmax: 98.85414762275164 | Exploration: 0.0496265352943 | Step: 129 | LR:0.0002291486
| Reward: -316 | Episode: 199 | Qmax: 98.59909605546432 | Exploration: 0.0496265352943 | Step: 110 | LR:0.00022456565
| Reward: -339 | Episode: 200 | Qmax: 100.96342609950474 | Exploration: 0.0496265352943 | Step: 70 | LR:0.00022007436
| Reward: -277 | Episode: 201 | Qmax: 99.53786314203498 | Exploration: 0.0496265352943 | Step: 89 | LR:0.00021567287
| Reward: -456 | Episode: 202 | Qmax: 98.96571625490239 | Exploration: 0.0496265352943 | Step: 187 | LR:0.00021135941
| Reward: -231 | Episode: 203 | Qmax: 100.80690740366451 | Exploration: 0.0496265352943 | Step: 61 | LR:0.00020713222
| Reward: -397 | Episode: 204 | Qmax: 99.73505169153214 | Exploration: 0.0496265352943 | Step: 128 | LR:0.00020298958
| Reward: -246 | Episode: 205 | Qmax: 99.66599392068797 | Exploration: 0.0496265352943 | Step: 58 | LR:0.00019892982
| Reward: -271 | Episode: 206 | Qmax: 100.28260862970927 | Exploration: 0.0496265352943 | Step: 83 | LR:0.00019495121
| Reward: -356 | Episode: 207 | Qmax: 99.78441369870288 | Exploration: 0.0496265352943 | Step: 177 | LR:0.00019105218
| Reward: -614 | Episode: 208 | Qmax: 99.93899011410741 | Exploration: 0.0496265352943 | Step: 237 | LR:0.00018723115
| Reward: -437 | Episode: 209 | Qmax: 99.99426197283196 | Exploration: 0.0496265352943 | Step: 132 | LR:0.00018348654
| Reward: -714 | Episode: 210 | Qmax: 99.77369504014985 | Exploration: 0.0496265352943 | Step: 238 | LR:0.00017981682
| Reward: -379 | Episode: 211 | Qmax: 100.31682835947169 | Exploration: 0.0496265352943 | Step: 101 | LR:0.00017622049
| Reward: -515 | Episode: 212 | Qmax: 100.56200357034903 | Exploration: 0.0496265352943 | Step: 147 | LR:0.00017269609
| Reward: -234 | Episode: 213 | Qmax: 102.16831755638123 | Exploration: 0.0496265352943 | Step: 64 | LR:0.00016924216
| Reward: -344 | Episode: 214 | Qmax: 100.7177535326053 | Exploration: 0.0496265352943 | Step: 156 | LR:0.00016585733
| Reward: -298 | Episode: 215 | Qmax: 100.90961682796478 | Exploration: 0.0496265352943 | Step: 128 | LR:0.0001625402
| Reward: -267 | Episode: 216 | Qmax: 100.7401247319487 | Exploration: 0.0496265352943 | Step: 97 | LR:0.00015928938
| Reward: -353 | Episode: 217 | Qmax: 100.57440231406623 | Exploration: 0.0496265352943 | Step: 183 | LR:0.0001561036
| Reward: -464 | Episode: 218 | Qmax: 100.24780816353216 | Exploration: 0.0496265352943 | Step: 267 | LR:0.00015298155
